Scenario,Question 1,Question 2,Question 3
"You’re part of a research team and another team member, Alex, confides in you that they have discovered inconsistencies in a colleague, John’s, data that suggest data manipulation. Alex has asked for strict confidentiality as they fear John may retaliate. Notably, John is related to the lead researcher, who is known to favor him. While data integrity is crucial, you are also aware of the potential repercussions Alex may face, and your own position on the team may be at stake.",How would you handle Alex’s request for confidentiality?,What strategies would you employ to ensure the long-term integrity of your team’s research?,
"During a final group meeting before a project is due, one of your teammates, Sam, unexpectedly reveals that he has been struggling with personal issues throughout the project’s duration. As a result, he hasn’t been able to contribute much. No one in the group was aware of Sam’s situation, but his lack of contribution has significantly increased the workload for everyone else. The deadline for the project is in two days, and there is still substantial work left. Two group members propose that anyone who didn’t contribute significantly should not get credit.",How would you handle this situation to ensure a fair outcome?,Would your answer change if this wasn’t the first time Sam has contributed less to a group project?,
,Why do you want to become a doctor?,"If you couldn’t become a doctor, what other field might you consider?",
"Lately, a few of your friends from class have shared issues they’ve been having with cyberbullying online. They are unsure of what to do and ask for your advice.",What advice would you give to someone you know who is dealing with cyberbullying?,"If you were the one confronted with cyberbullying, would you do anything different?",
"You’re a university TA and one of your top-performing students submits an assignment that is noticeably below their usual standard. You suspect personal issues may be affecting their academic performance, but discussing such matters can be inappropriate and sensitive. Interestingly, the student sends you an email requesting an extension on their next assignment, citing personal issues that affected their work.",How would you handle this scenario in relation to grading this assignment and considering the request for an extension?,How would you provide necessary support while maintaining an appropriate professional boundary if the personal issues persist?,
"Keeping your cool and remaining calm in a hospital setting, no matter what a patient may say or do, is incredibly important.",Discuss a time when you lost your temper.,What strategies do you implement to practice patience?,
"You notice one of your classmates, Anika, has brand new school books and an expensive new calculator. Later, you hear from another friend that Anika was bragging about stealing from the school bookstore.",What would you do in this situation?,Would your answer change if Anika shows remorse and explains that her family has come into money trouble?,
"As a research team leader, you learn that an experienced team member has been dismissing the suggestions of a new team member during meetings. This seems to have resulted in the new member becoming increasingly quieter and less engaged.",What steps would you take to address the issue?,What would you do to prevent similar issues from arising in the future?,
"You are a research assistant at an esteemed university. During your research, you find out that a significant portion of the data collected by the lead researcher has been manipulated to yield more favorable results. This could translate to the university receiving more funding and lead to a prominent publication. However, the manipulation severely affects the academic integrity of the research conducted. As a junior member of the team, discussing this issue with the lead researcher could put your career in jeopardy, but ignoring it might disparage the knowledge in your field.",How would you approach the manipulated data issue?,"What would you say to the lead researcher, despite their clear authority?",What are the potential long-term implications if the manipulated data was published?
"You are a hospital administrator. You learn of a well-respected doctor who is bending the hospital rules to help his patients. For instance, he sometimes admits patients with minor problems to keep them under observation overnight, which can be costly to the hospital but beneficial for patients’ wellbeing. Mixed opinions exist among your team about his intentions.","How would you approach the doctor, addressing both the perceived positive intentions and protocol violations?","How would you deal with this matter considering its potential long-term impact on hospital operations, resources, and the precedence it sets?",Reflect on a situation where you had to balance between rule compliance and human empathy.
Candidates for admission have increasingly impressive experiences and accomplishments. The following questions will be related to how you see your accomplishments.,What is your biggest achievement to date?,What did you learn by achieving that goal?,What factors in your life helped you reach that goal or achieve what you did?
"You are a customer shopping at your local pharmacy. While shopping, you notice a young mother with her baby steal formula and walk out of the store. She seems well-dressed and healthy. You are the only one who noticed the shoplifting.",How would you handle this situation?,"What are the ethical, legal, and psychological implications of your decision?",Would your answer change if you were told this was the only time the mother did this?
"The increasing use of AI is a big topic in nearly every industry. Hospitals and research facilities continue to find new uses for AI technology, which has resulted in notable progress. However, the use of AI is new, and we still don’t know what downsides could occur.",What positive outcomes has AI brought to healthcare?,What are some security risks that could arise from utilizing AI in hospitals?,What can hospitals do to mitigate the possible risks of utilizing AI?
"You are attending a university in a small town with a primarily Caucasian population, including yourself. A Sikh student, Harmeet, has recently joined your class. You notice other students begin to make fun of Harmeet’s turban.",What would you do to address the situation?,How can students work to confront bullying on a larger scale?,Describe a time when you were an advocate.
